Name	Set	ImageFile	Number	Type	Team	Speed	Power	Performance	AP Cost	Modability	Terrain	Text
Hollowback	AcceleRacers	1	001	Vehicle	Metal Maniacs	3	3	2		Street	Paved	When Hollowback is brought into play, return 1 Mod from your junk pile to your hand.
Jaw Jammer	AcceleRacers	2	002	Vehicle	Metal Maniacs	4	3	4		Race		
Rivited	AcceleRacers	3	003	Vehicle	Metal Maniacs	3	4	4		Street, Off-Road 		
Rolling Thunder	AcceleRacers	4	004	Vehicle	Metal Maniacs	3	3	2		Street, Off-Road	Slick	Rolling Thunder can transfer any Mod equipped on it to another Metal Maniac in the same Realm, without spending APs. Modability rules apply.
Rat-Ified	AcceleRacers	5	005	Vehicle	Metal Maniacs	4	4	3		Street		
Flathead Fury	AcceleRacers	6	006	Vehicle	Metal Maniacs	3	4	4		Race	Sand	
Power-Bomb	AcceleRacers	7	007	Vehicle	Metal Maniacs	5	4	4		Race	Water	
Piledriver	AcceleRacers	8	008	Vehicle	Metal Maniacs	3	2	4		Street, Off-Road	Rough	
Jackhammer	AcceleRacers	9	009	Vehicle	Metal Maniacs	4	5	4		Street	Mud	
Spine Buster	AcceleRacers	10	010	Vehicle	Metal Maniacs	4	4	5		Race		
Torqued Hollowback	AcceleRacers	11	011	Vehicle	Metal Maniacs	3	3	3		Street	Paved	Salvage some Mods! When Torqued Hollowback enters play, you may choose to spend 1 Action Point for every Mod you return from your junk pile to your hand.
Torqued Jaw Jammer	AcceleRacers	12	012	Vehicle	Metal Maniacs	4	3	5		Race		
Torqued Rivited	AcceleRacers	13	013	Vehicle	Metal Maniacs	3	4	5		Street, Off-Road	Mud	
Torqued Rolling Thunder	AcceleRacers	14	014	Vehicle	Metal Maniacs	3	4	3		Street, Off-Road	Slick	Without spending APs, Torqued Rolling Thunder can transfer any Mod equipped on it to another Metal Maniac in the same Realm. Modability rules DO NOT apply.
Torqued Rat-Ified	AcceleRacers	15	015	Vehicle	Metal Maniacs	4	5	3		Street	Paved	
Torqued Flathead Fury	AcceleRacers	16	016	Vehicle	Metal Maniacs	4	4	4		Race	Sand	
Torqued Power-Bomb	AcceleRacers	17	017	Vehicle	Metal Maniacs	6	4	4		Race	Water	
Torqued Piledriver	AcceleRacers	18	018	Vehicle	Metal Maniacs	3	3	4		Street, Off-Road	Sand, Rough	
Torqued Jackhammer	AcceleRacers	19	019	Vehicle	Metal Maniacs	4	6	4		Street, Off-Road	Mud, Slick	
Torqued Spine Buster	AcceleRacers	20	020	Vehicle	Metal Maniacs	4	4	6		Race	Water	
SynKro	AcceleRacers	21	021	Vehicle	Teku	6	4	4		Race	Slick	
Battle Spec	AcceleRacers	22	022	Vehicle	Teku	4	2	3		Street		
High Voltage	AcceleRacers	23	023	Vehicle	Teku	4	2	2		Street	Rough	When advancing to the SECOND Realm, High Voltage retains any shift cards equipped to it.
Nightlife	AcceleRacers	24	024	Vehicle	Teku	5	2	4		Race		
Chicane	AcceleRacers	25	025	Vehicle	Teku	6	3	4		Race		
SpecTyte	AcceleRacers	26	026	Vehicle	Teku	2	3	3		Off-Road	Sand, Mud, Rough	When this hybrid Vehicle is brought into play, return 1 Mod - with any NUMBER listed in its Speed window - from your junk pile to your hand.
Power Rage	AcceleRacers	27	027	Vehicle	Teku	5	3	4		Street		
Bassline	AcceleRacers	28	028	Vehicle	Teku	4	3	2		Street		
Reverb	AcceleRacers	29	029	Vehicle	Teku	6	4	3		Race	Paved	
Drift Tech	AcceleRacers	30	030	Vehicle	Teku	4	4	3		Off-Road	Water	
Hyper SynKro	AcceleRacers	31	031	Vehicle	Teku	7	4	4		Street, Race	Slick, Paved	
Hyper Battle Spec	AcceleRacers	32	032	Vehicle	Teku	4	3	3		Street		
Hyper High Voltage	AcceleRacers	33	033	Vehicle	Teku	4	2	3		Street	Rough	This Vehicle NEVER discards equipped Shift Cards when it advances to any new Racing Realm.
Hyper Nightlife	AcceleRacers	34	034	Vehicle	Teku	5	3	4		Race	Slick	
Hyper Chicane	AcceleRacers	35	035	Vehicle	Teku	6	4	4		Race	Paved	
Hyper SpecTyte	AcceleRacers	36	036	Vehicle	Teku	3	3	3		Off-Road	Sand, Mud, Rough	When Hyper SpecTyte is brought into play, salvage 1 Mod from your junk pile and return it to your hand.
Hyper Power Rage	AcceleRacers	37	037	Vehicle	Teku	6	3	4		Street	Sand	
Hyper Bassline	AcceleRacers	38	038	Vehicle	Teku	4	3	3		Street		
Hyper Reverb	AcceleRacers	39	039	Vehicle	Teku	7	4	3		Race	Paved	
Hyper Drift Tech	AcceleRacers	40	040	Vehicle	Teku	4	5	3		Off-Road	Water	
Carbide	AcceleRacers	41	041	Vehicle	Silencerz	4	5	4		Race	Slick	
Nitrium	AcceleRacers	42	042	Vehicle	Silencerz	3	3	5		Race		
Iridium	AcceleRacers	43	043	Vehicle	Silencerz	3	3	6		Street		
Covelight	AcceleRacers	44	044	Vehicle	Silencerz	4	3	6		Race		
Accelium	AcceleRacers	45	045	Vehicle	Silencerz	2	2	3		Off-Road	Sand, Rough	When this fusion-powered Vehicle is brought into play, return 1 Mod - with a NUMBER listed in its Performance window - from your junk pile to your hand.
Magnesium	AcceleRacers	46	046	Vehicle	Silencerz	4	2	5		Off-Road	Slick	
Octainium	AcceleRacers	47	047	Vehicle	Silencerz	3	2	5		Off-Road	Sand	
Metaloid	AcceleRacers	48	048	Vehicle	Silencerz	2	4	4		Street	Rough	
Anthracite	AcceleRacers	49	049	Vehicle	Silencerz	3	4	4		Race	Paved	
Technetium	AcceleRacers	50	050	Vehicle	Silencerz	3	3	4		Street		As long as Technetium remains in play, you may keep up to 8 cards in your hand.
Vectra Carbide	AcceleRacers	51	051	Vehicle	Silencerz	4	6	4		Race	Slick, Paved	
Vectra Nitrium	AcceleRacers	52	052	Vehicle	Silencerz	4	3	5		Race		
Vectra Iridium	AcceleRacers	53	053	Vehicle	Silencerz	3	4	6		Street	Paved	
Vectra Covelight	AcceleRacers	54	054	Vehicle	Silencerz	4	4	6		Race	Paved	
